127.0.0.1 - - [07/Aug/2017:16:41:53 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:42:04 +0530] "GET /JobsPikr/Homepage.jsp HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:42:06 +0530] "GET /JobsPikr/css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:42:06 +0530] "GET /JobsPikr/JavaScript/HomepageValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:42:06 +0530] "GET /JobsPikr/css/Header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:42:06 +0530] "GET /JobsPikr/JavaScript/TabSwitch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:42:06 +0530] "GET /JobsPikr/Images/JobsPikr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:42:07 +0530] "GET /JobsPikr/Images/HomepageBackground.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:42:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:42:42 +0530] "POST /JobsPikr/CandidateLoginServlet HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:42:45 +0530] "GET /JobsPikr/Homepage.jsp HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:47:31 +0530] "GET /JobsPikr/Logout HTTP/1.1" 500 1450
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:48:13 +0530] "POST /JobsPikr/CandidateLoginServlet HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [07/Aug/2017:16:48:15 +0530] "GET /JobsPikr/Homepage.jsp HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [07/Aug/2017:17:56:43 +0530] "GET /JobsPikr/Homepage.jsp HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [07/Aug/2017:17:56:49 +0530] "GET /JobsPikr/CandidateRegistration.jsp HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [07/Aug/2017:17:56:49 +0530] "GET /JobsPikr/css/Common.css HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [07/Aug/2017:17:57:04 +0530] "GET /JobsPikr/checkAJAX.jsp?email=sh HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [07/Aug/2017:17:57:04 +0530] "GET /JobsPikr/checkAJAX.jsp?email=shu HTTP/1.1" 200 29
